dates,be_pwv,qc_be_pwv,be_lwp,qc_be_lwp,be_retrieval_status,cloud_base_height,qc_cloud_base_height,cloud_temp,qc_cloud_temp,surface_temp,qc_surface_temp,surface_vapor_pres,qc_surface_vapor_pres,surface_pres,qc_surface_pres,surface_rh,qc_surface_rh,tbsky23,qc_tbsky23,tbsky31,qc_tbsky31,orig_pwv,qc_orig_pwv,orig_lwp,qc_orig_lwp,tbsky23_nobias,tbsky31_nobias,stat2_pwv,qc_stat2_pwv,stat2_pwv_uncertainty,stat2_lwp,qc_stat2_lwp,stat2_lwp_uncertainty,stat2_tliq_status,tbsky23_calculated,qc_tbsky23_calculated,tbsky31_calculated,qc_tbsky31_calculated,phys_pwv,qc_phys_pwv,phys_pwv_uncertainty,qc_phys_pwv_uncertainty,phys_lwp,qc_phys_lwp,phys_lwp_uncertainty,qc_phys_lwp_uncertainty,phys_niter,qc_phys_niter,phys_rms,qc_phys_rms,phys_converge,qc_phys_converge,sonde_launch_status,sonde_pwv,qc_sonde_pwv,mean_pwv_mwr,sdev_pwv_mwr,num_pwv_mwr,mean_lwp_mwr,sdev_lwp_mwr,num_lwp_mwr,mean_tbsky23_mwr,qc_mean_tbsky23_mwr,sdev_tbsky23_mwr,qc_sdev_tbsky23_mwr,num_tbsky23_mwr,mean_tbsky31_mwr,qc_mean_tbsky31_mwr,sdev_tbsky31_mwr,qc_sdev_tbsky31_mwr,num_tbsky31_mwr
191201,0.524639222,0.186685289,95.47702805,0.186685289,1.004888268,1.393621974,0.187616387,255.4569658,0.179702048,275.5903166,0,0.548089906,0,98.93672893,0,75.40358764,0,19.90160542,9.388268156,19.62996647,9.395716946,0.570779356,0.000232775,131.2160149,0.000232775,20.4496061,20.0904366,0.620712706,0.515828678,0.027651181,134.0296497,0.515828678,8.120071724,0.017690875,16.05885562,0,13.2777111,0,0.641381972,0.43226257,0.029264463,0.004888268,109.7117959,0.43226257,5.5842417,0.004888268,4.003258845,0,0.000764649,0.000232775,5.36E-05,0.000232775,0,--,1,0.570758273,0.050827062,118.4564711,130.9908636,188.3322858,118.4564711,18.69003142,0.034916201,5.76561227,0.034916201,111.4869646,18.19464691,0.034916201,8.61089531,0.034916201,111.4869646
191202,0.576192303,0.159894205,86.60931113,0.159894205,1.002885309,1.564058649,0.187785525,256.1995973,0.321471508,275.4413321,0,0.551055857,0,99.88375361,0,76.65612226,0,19.7189153,5.847559509,18.75979427,5.856215436,0.602201469,0,115.2248137,0,20.26691738,19.22026404,0.657419222,0.407790334,0.027662291,118.748625,0.407790334,7.905822651,0.087761481,15.93434983,0,13.2397239,0,0.688015636,0.354893003,0.029211488,0.002885309,100.5154635,0.354893003,5.938795196,0.002885309,4.045924501,0,0.000288114,0,3.30E-05,0,0.000480885,0.000278617,0.999519115,0.602088937,0.035316638,115.2293821,114.8023263,126.6524705,115.2293821,18.83397263,0.02188026,3.98259798,0.02188026,110.9444578,17.66643875,0.02188026,6.033840391,0.02188026,110.9444578
191203,1.390284135,0.473929236,560.268622,0.473929236,1.272579143,0.719941834,0.135009311,264.7844507,0.611731844,277.3178247,0,0.710511391,0,98.90204551,0,85.11680924,0,86.92244239,70.80633147,90.08756692,70.87802607,2.806676541,0.00744879,1490.818669,0.00744879,87.47043762,90.54803887,3.319163857,3.577281192,0.038733612,1608.829143,3.577281192,66.24435521,0.080074488,27.32990718,0,16.96037011,0,2.164780828,2.19622905,0.022684463,0.272579143,887.0947393,2.19622905,5.508505368,0.272579143,7.747905028,0,0.00846894,0.00744879,0.000261261,0.00744879,0.000931099,0.001498031,0.999068901,2.804651356,0.183157795,116.9590317,1489.805284,190.0003928,116.9590317,37.98023598,0.431564246,2.376892431,0.431564246,63.69553073,38.21121028,0.431564246,3.495268355,0.431564246,63.69553073
191204,0.269585182,0.839798851,102.4867247,0.839798851,1.641762452,0.570287361,0.348898467,266.5653736,0.247126437,280.570073,0,0.903764864,0,98.18614553,0,87.70263111,0,89.98248174,118.5938697,100.0505642,118.954023,2.320014106,0.016044061,1793.082854,0.016044061,90.53048671,100.5110303,2.840747351,6.245689655,0.039748875,2132.297414,6.245689655,92.62610752,0.008860153,28.47021671,0,17.21773976,0,0.592896502,4.010057471,0.010713195,0.641762452,242.5396013,4.010057471,2.170318487,0.641762452,8.328065134,0,0.010954787,0.016044061,0.000513911,0.016044061,0.000957854,0.001433827,0.999042146,2.320288413,0.165610814,112.2588602,1792.820402,224.0092044,112.2588602,8.916656377,0.741858238,0.79585003,0.741858238,24.53591954,8.179786653,0.742097701,0.996179223,0.742097701,24.52274904
191205,0.678092529,0.504273504,210.6822768,0.504273504,1.174501425,0.977552278,0.609211776,259.7879274,0.575261159,276.5759734,0,0.673681362,0,97.0739702,0,86.36674234,0,53.68664678,38.34472934,56.25834669,38.55270655,1.554776068,0.001187085,837.2851377,0.001187085,54.2346458,56.71881677,1.792447198,2.541310541,0.03269355,894.1033357,2.541310541,37.709513,0.114197531,19.16939325,0,14.05989583,0,1.241875658,1.87345679,0.02475031,0.174501425,449.565349,1.87345679,5.450273215,0.174501425,6.081908832,0,0.006174784,0.001187085,0.000151997,0.001187085,0.000949668,0.000787216,0.999050332,1.554915759,0.224722461,116.3022317,837.4463438,255.2688746,116.3022317,30.1530931,0.225546059,4.749623472,0.225546059,85.85375119,29.8031684,0.225546059,6.177475628,0.225546059,85.85375119
191206,0.834096703,0.142289122,130.1816423,0.142289122,1.00056802,3.266296473,0.178926441,248.6617616,0.410962795,275.8313157,0,0.591769625,0,97.2027123,0,80.05113959,0,24.93870704,0.036353309,22.21003,0.036353309,0.867641043,0,177.1635899,0,25.48670477,22.67049933,0.955711948,0.29139449,0.028056627,172.915436,0.29139449,9.939755441,0.401306447,18.55673992,0,13.78573204,0,0.984026921,0.287418347,0.029772359,0.00056802,159.367456,0.287418347,5.479079762,0.00056802,4.128372621,0,0.000129363,0,6.24E-05,0,0.001136041,0.000960806,0.998863959,0.868076072,0.048684577,97.79693269,176.9400383,38.52990983,97.79693269,24.91662969,0.001136041,1.75673193,0.001136041,97.61971031,22.18322875,0.001136041,2.118223694,0.001136041,97.61971031
191207,0.725935694,0.242799539,148.1660966,0.242799539,1,0.867592245,0.257776498,261.3076757,0.258928571,275.1586622,0,0.623258389,0,97.61230019,0,88.53799143,0,26.26354137,0,24.08212126,0,0.877616425,0,194.5207373,0,26.81154144,24.55520728,0.969797653,0.485599078,0.028086882,195.9664279,0.485599078,10.21852836,0.043202765,18.87669436,0,14.02734825,0,1.007061725,0.485599078,0.029125163,0,180.2298567,0.485599078,6.176168275,0,4.230414747,0,0.000316311,0,4.62E-05,0,0.001152074,0.00094524,0.998847926,0.877740886,0.037076985,96.24135945,194.8701397,57.71764743,96.24135945,26.2765337,0,2.352304485,0,96.24135945,24.10062194,0,3.38218696,0,96.24135945
191208,0.49250508,0.220495107,30.00895941,0.220495107,1.000287853,1.543036778,0.277489925,259.2239493,0.25388601,273.785118,0,0.514718222,0,98.0562572,0,80.2959035,0,17.15693253,0,15.07230835,0,0.583045762,0,52.67415083,0,17.70493307,15.54539413,0.626215643,0.440990213,0.027312863,58.3685638,0.440990213,6.191822849,0.014968336,15.62107576,0,12.98299533,0,0.666419645,0.441278066,0.029118999,0.000287853,39.54890346,0.441278066,5.875973751,0.000287853,3.660621762,0,6.93E-05,0,5.52E-05,0,0.00115141,0.000692735,0.99884859,0.583015402,0.02859671,96.29130685,52.66047784,35.78812473,96.29130685,17.156015,0,1.567492444,0,96.29130685,15.07140319,0,2.136859303,0,96.29130685
191209,0.464114544,0.266528926,42.07623644,0.266528926,1.000258264,1.52183621,0.376033058,254.8646694,0.446022727,272.5855824,0,0.424745765,0,98.50747353,0,73.41377195,0,18.37592007,4.165289256,16.96324574,4.166322314,0.59818312,0.000516529,86.14075413,0,18.9239169,17.43632974,0.648151366,0.602272727,0.027778598,88.5591587,0.602272727,6.890560434,0.16838843,14.75218617,0,12.73803106,0,0.689467123,0.563274793,0.029708169,0.000258264,69.44724141,0.563274793,5.917080461,0.000258264,3.601239669,0,0.00026635,0,5.36E-05,0,0.001033058,0.000567751,0.998966942,0.598801605,0.07163058,108.1208678,86.26343782,54.12950349,108.1208678,17.53195216,0.015495868,2.284542367,0.015495868,104.9028926,16.12279769,0.015495868,2.805243374,0.015495868,104.9028926
191210,0.25998459,0.444201313,32.18894027,0.444201313,1.003008753,1.689575997,0.785557987,249.6318894,0.966083151,271.2374863,0,0.411013347,0,100.0592519,0,79.62739333,0,15.01367401,5.216630197,15.05384343,5.225382932,0.407183825,0,61.16055799,0,15.56167409,15.52692705,0.429394444,0.990700219,0.027615729,69.672952,0.990700219,6.489113038,0.310448578,14.60002928,0,12.84584416,0,0.455020662,0.931345733,0.029434463,0.003008753,50.34212168,0.931345733,5.771766446,0.003008753,3.307439825,0,0.000482553,0,7.12E-05,0,0.001094092,0.000579126,0.998905908,0.406944392,0.024916014,101.7882932,60.59786994,57.69061987,101.7882932,13.83422371,0.021881838,1.554736114,0.021881838,98.13129103,13.49298777,0.021881838,2.158602458,0.021881838,98.13129103
191211,0.716881162,0.324134199,56.99806801,0.324134199,1.028138528,2.04772183,0.410443723,253.5773979,0.493777056,275.44653,0,0.565315808,0,98.05727476,0,77.8098451,0,26.62678614,7.187229437,22.17321936,7.229437229,1.020173176,0,179.2394481,0,27.17478566,22.62779018,1.134664957,0.903138528,0.028445203,181.1694399,0.903138528,10.98137873,0.214556277,21.22579097,0,14.70732295,0,1.063609334,0.781926407,0.028195398,0.028138528,101.1321615,0.781926407,5.659651587,0.028138528,4.150703463,0,0.000629975,0,4.67E-05,0,0.001082251,0.001181207,0.998917749,1.021128204,0.078207396,102.8468615,179.9075183,73.32534328,102.8468615,22.39943943,0.040854978,1.811887535,0.040854978,97.2849026,17.52646442,0.040854978,2.248289166,0.040854978,97.2849026
191212,0.600430213,0.271399943,4.109671631,0.271399943,1,3.499644937,0.535642714,237.5048669,1.176352705,277.1382766,0,0.501384186,0,98.34048454,0,61.69145881,0,17.5832927,0,13.44170484,0,0.700023443,0,22.93930719,0,18.13129384,13.89026043,0.756414755,0.542799885,0.027195192,14.8836065,0.542799885,4.24758725,0.647580876,18.00309995,0,13.6325866,0,0.782363835,0.542799885,0.029269232,0,4.792001414,0.542799885,5.553399768,0,3.315488119,0,2.23E-05,0,7.06E-05,0,0.001145147,0.000864546,0.998854853,0.69978699,0.019405423,96.45949041,22.79708077,5.233779501,96.45949041,17.57500157,0,0.38203912,0,96.45949041,13.43263983,0,0.342808385,0,96.45949041
191213,0.569351727,0.305555556,3.305612001,0.305555556,1,2.836517848,0.611111111,244.2087893,0.946127946,276.5723555,0,0.49803249,0,98.65764415,0,63.88290457,0,17.72932449,0,13.51525893,0,0.707454249,0,23.9674523,0,18.27732402,13.9471341,0.767818978,0.611111111,0.027264251,15.0358873,0.611111111,4.566970705,0.38973064,18.07616091,0,13.71003218,0,0.794393383,0.611111111,0.028689859,0,3.261945628,0.611111111,5.79630068,0,3.335578002,0,2.07E-05,0,8.82E-05,0,0.001122334,0.000877028,0.998877666,0.707407873,0.018634499,98.84848485,23.9558015,7.146003218,98.84848485,17.72839397,0,0.43097417,0,98.84848485,13.51449609,0,0.454356869,0,98.84848485
191214,0.227061098,0.69026293,0.11590458,0.69026293,1,2.078982913,1.38052586,231.8340075,2.337474718,275.2039873,0,0.50226964,0,99.40448931,0,70.79373284,0,16.13089718,0,12.91547557,0,0.60814562,0,17.12193008,0,16.67889745,13.34030537,0.656078869,1.38052586,0.02722977,9.519164439,1.38052586,3.978103669,0.961282866,16.98012903,0,13.4035593,0,0.680568339,1.38052586,0.029121174,0,0.855736028,1.38052586,5.401905835,0,3.2689974,0,2.10E-05,0,7.02E-05,0,0.001155735,0.000830631,0.998844265,0.608109715,0.014250891,95.7310026,17.12187929,1.796992662,95.7310026,16.1304446,0,0.203208802,0,95.7310026,12.91551056,0,0.12391805,0,95.7310026
